Hospital,hospital_code,federal_entity
Hospital Dr. José Gregorio Hernández. Amazonas,AMA000,Amazonas
Hospital Universitario Dr. Luis Razzetti. Anzoátegui,ANZ000,Anzoátegui
Hospital Felipe Guevara Rojas. Anzoátegui,ANZ001,Anzoátegui
Hospital de Guaraguao. Anzoátegui,ANZ002,Anzoátegui
Hospital Dr. Pablo Acosta Ortiz. Apure,APU000,Apure
Hospital José María Benítez. Aragua,ARA000,Aragua
Hospital Coronel Elbano Paredes Vivas. Aragua,ARA001,Aragua
Hospital Central de Maracay. Aragua,ARA002,Aragua
Hospital Dr. Luis Razetti. Barinas,BAR000,Barinas
Hospital Ruiz y Páez. Bolívar,BOL000,Bolívar
Hospital Uyapar. Bolívar,BOL001,Bolívar
Hospital Dr. Ángel Larrralde. Carabobo,CAR000,Carabobo
Ciudad Hospitalaria Enrique Tejera. Carabobo,CAR001,Carabobo
Hospital General de San Carlos. Cojedes,COJ000,Cojedes
Hospital Dr. Luis Razetti. Delta Amacuro,DEL000,Delta Amacuro
Hospital Militar. Dtto. Capital,DCA000,Distrito Capital
Hospital Vargas. Dtto. Capital,DCA001,Distrito Capital
Hospital JM de los Ríos. Dtto. Capital,DCA002,Distrito Capital
Hospital Universitario de Caracas. Dtto. Capital,DCA003,Distrito Capital
Maternidad Concepción Palacios. Dtto. Capital,DCA004,Distrito Capital
Hospital Dr. Miguel Pérez Carreño. Dtto. Capital,DCA005,Distrito Capital
Hospital Magallanes de Catia. Dtto. Capital,DCA006,Distrito Capital
Hospital Dr. Alfredo Van Grieken. Falcón,FAL000,Falcón
Hospital Dr. Israel Ranuarez Balza. Guárico,GUA000,Guárico
Hospital Universitario Dr. Antonio María Pineda. Lara,LAR000,Lara
Hospital Universitario de los Andes. Mérida,MER000,Mérida
Hospital Domingo Luciani. Miranda,MIR000,Miranda
Hospital General Dr. Victorino Santaella,MIR001,Miranda
Hospital Universitario Dr. Manuel Núñez Tovar. Monagas,MON000,Monagas
Hospital Dr. Luis Ortega. Nueva Esparta,NES000,Nueva Esparta
Hospital Dr. Miguel Oraa. Portuguesa,POR000,Portuguesa
Hospital Antonio Patricio de Alcalá. Sucre,SUC000,Sucre
Hospital Patrocinio Peñuela. Táchira,TAC000,Táchira
Hospital Central de San Cristóbal. Táchira,TAC001,Táchira
Hospital Universitario Dr. Pedro Emilio Carrillo. Trujillo,TRU000,Trujillo
Hospital Dr. José María Vargas. Vargas,VAR000,Vargas
"Hospital Plácido Rodriguez Rivero , Yaracuy",YAR000,Yaracuy
Hospital Universitario de Maracaibo. Zulia,ZUL000,Zulia
Hospital General del Sur,ZUL001,Zulia
